sub,hr,congruent,rsi
280367,0.4666666666666667,1,3
280368,0.3125,1,3
280369,0.3076923076923077,1,3
280370,0.29411764705882354,1,3
280371,0.6666666666666666,1,3
280372,0.5555555555555556,1,3
280373,0.38461538461538464,1,3
280374,0.6470588235294118,1,3
280375,0.42105263157894735,1,3
280376,0.5333333333333333,1,3
280377,0.6,1,3
280379,0.4,1,3
280380,0.4117647058823529,1,3
280383,0.23529411764705882,1,3
280384,0.47619047619047616,1,3
280385,0.47368421052631576,1,3
280386,0.8,1,3
280387,0.23076923076923078,1,3
280389,0.4117647058823529,1,3
280391,0.5384615384615384,1,3
280392,0.42105263157894735,1,3
280395,0.631578947368421,1,3
280396,0.6190476190476191,1,3
280398,0.5714285714285714,1,3
280403,0.5238095238095238,1,3
280404,0.5625,1,3
280405,0.5,1,3
280406,0.6428571428571429,1,3
280408,0.5294117647058824,1,3
280409,0.47058823529411764,1,3
280411,0.47058823529411764,1,3
280412,0.4375,1,3
280413,0.6111111111111112,1,3
280418,0.65,1,3
280419,0.5263157894736842,1,3
280420,0.38461538461538464,1,3
280422,0.35714285714285715,1,3
280428,0.6428571428571429,1,3
280429,0.17391304347826086,1,3
280430,0.35294117647058826,1,3
280433,0.4117647058823529,1,3
280435,0.42105263157894735,1,3
280436,0.4375,1,3
280437,0.06666666666666667,1,3
280438,0.16666666666666666,1,3
280440,0.125,1,3
280444,0.5,1,3
280281,0.09090909090909091,0,3
280282,0.5,0,3
280283,0.4166666666666667,0,3
280285,0.7,0,3
280286,0.5833333333333334,0,3
280288,0.17647058823529413,0,3
280289,0.7333333333333333,0,3
280292,0.625,0,3
280297,0.5,0,3
280298,0.45454545454545453,0,3
280299,0.4444444444444444,0,3
280300,0.6428571428571429,0,3
280301,0.7142857142857143,0,3
280302,0.18181818181818182,0,3
280303,0.4375,0,3
280304,0.75,0,3
280305,0.38461538461538464,0,3
280306,0.5833333333333334,0,3
280307,0.5,0,3
280308,0.6875,0,3
280309,0.5833333333333334,0,3
280310,0.4444444444444444,0,3
280311,0.42857142857142855,0,3
280312,0.5555555555555556,0,3
280313,0.23076923076923078,0,3
280314,0.5555555555555556,0,3
280315,0.3333333333333333,0,3
280316,0.16666666666666666,0,3
280317,0.5,0,3
280318,0.36363636363636365,0,3
280320,0.4166666666666667,0,3
280321,0.5714285714285714,0,3
280322,0.7222222222222222,0,3
280325,0.3333333333333333,0,3
280326,0.46153846153846156,0,3
280327,0.4444444444444444,0,3
280328,0.5833333333333334,0,3
280329,0.2727272727272727,0,3
280330,0.25,0,3
280332,0.5882352941176471,0,3
280333,0.42857142857142855,0,3
280334,0.6428571428571429,0,3
280335,0.55,0,3
280336,0.4166666666666667,0,3
280337,0.26666666666666666,0,3
280339,0.2631578947368421,0,3
280340,0.46153846153846156,0,3
280342,0.4444444444444444,0,3
280343,0.625,0,3
280344,0.23076923076923078,0,3
280345,0.5454545454545454,0,3
280346,0.5,0,3
280347,0.6818181818181818,0,3
280349,0.42857142857142855,0,3
280350,0.4,0,3
280351,0.09090909090909091,0,3
280352,0.5555555555555556,0,3
280353,0.35714285714285715,0,3
280354,0.5,0,3
280355,0.3888888888888889,0,3
280356,0.4,0,3
280357,0.7692307692307693,0,3
280360,0.18181818181818182,0,3
280361,0.4444444444444444,0,3
280362,0.5625,0,3
280363,0.5,0,3
280364,0.5454545454545454,0,3
280365,0.2727272727272727,0,3
280367,0.3,0,3
280368,0.5454545454545454,0,3
280369,0.3333333333333333,0,3
280370,0.7777777777777778,0,3
280371,0.6923076923076923,0,3
280372,0.8181818181818182,0,3
280373,0.46153846153846156,0,3
280374,0.45454545454545453,0,3
280375,0.42857142857142855,0,3
280376,0.35714285714285715,0,3
280377,0.5,0,3
280379,0.3,0,3
280380,0.5882352941176471,0,3
280383,0.45454545454545453,0,3
280384,0.3333333333333333,0,3
280385,0.3333333333333333,0,3
280386,0.5,0,3
280387,0.3333333333333333,0,3
280389,0.125,0,3
280391,0.6,0,3
280392,0.5625,0,3
280395,0.8,0,3
280396,0.35714285714285715,0,3
280398,0.5789473684210527,0,3
280403,0.6666666666666666,0,3
280404,0.7272727272727273,0,3
280405,0.5333333333333333,0,3
280406,0.2857142857142857,0,3
280408,0.6,0,3
280409,0.6923076923076923,0,3
280411,0.35714285714285715,0,3
280412,0.6153846153846154,0,3
280413,0.25,0,3
280418,0.4444444444444444,0,3
280419,0.5625,0,3
280420,0.47058823529411764,0,3
280422,0.6363636363636364,0,3
280428,0.38461538461538464,0,3
280429,0.2222222222222222,0,3
280430,0.45454545454545453,0,3
280433,0.5,0,3
280435,0.6363636363636364,0,3
280436,0.35714285714285715,0,3
280437,0.3333333333333333,0,3
280438,0.3076923076923077,0,3
280440,0.3333333333333333,0,3
280444,0.6666666666666666,0,3
280281,0.2777777777777778,1,4
280282,0.6363636363636364,1,4
280283,0.55,1,4
280285,0.55,1,4
280286,0.6363636363636364,1,4
280288,0.2857142857142857,1,4
280289,0.3888888888888889,1,4
280292,0.6666666666666666,1,4
280297,0.4444444444444444,1,4
280298,0.36,1,4
280299,0.3333333333333333,1,4
280300,0.4666666666666667,1,4
280301,0.4444444444444444,1,4
280302,0.2777777777777778,1,4
280303,0.46153846153846156,1,4
280304,0.5172413793103449,1,4
280305,0.47619047619047616,1,4
280306,0.631578947368421,1,4
280307,0.21739130434782608,1,4
280308,0.4782608695652174,1,4
280309,0.2857142857142857,1,4
280310,0.6428571428571429,1,4
280311,0.4782608695652174,1,4
280312,0.26666666666666666,1,4
280313,0.5294117647058824,1,4
280314,0.42857142857142855,1,4
280315,0.42857142857142855,1,4
280316,0.45454545454545453,1,4
280317,0.2857142857142857,1,4
280318,0.48148148148148145,1,4
280320,0.6,1,4
280321,0.45454545454545453,1,4
280322,0.5,1,4
280325,0.5625,1,4
280326,0.17391304347826086,1,4
280327,0.3181818181818182,1,4
280328,0.72,1,4
280329,0.42857142857142855,1,4
280330,0.5,1,4
280332,0.5454545454545454,1,4
280333,0.26666666666666666,1,4
280334,0.45454545454545453,1,4
280335,0.6818181818181818,1,4
280336,0.44,1,4
280337,0.6111111111111112,1,4
280339,0.5454545454545454,1,4
280340,0.38095238095238093,1,4
280342,0.2777777777777778,1,4
280343,0.3888888888888889,1,4
280344,0.25,1,4
280345,0.125,1,4
280346,0.21052631578947367,1,4
280347,0.5555555555555556,1,4
280349,0.3684210526315789,1,4
280350,0.3333333333333333,1,4
280351,0.43478260869565216,1,4
280352,0.5,1,4
280353,0.4117647058823529,1,4
280354,0.3125,1,4
280355,0.45454545454545453,1,4
280356,0.38461538461538464,1,4
280357,0.5,1,4
280360,0.6666666666666666,1,4
280361,0.3684210526315789,1,4
280362,0.42857142857142855,1,4
280363,0.7333333333333333,1,4
280364,0.6153846153846154,1,4
280365,0.4,1,4
280367,0.2857142857142857,1,4
280368,0.5263157894736842,1,4
280369,0.4,1,4
280370,0.5652173913043478,1,4
280371,0.5263157894736842,1,4
280372,0.6666666666666666,1,4
280373,0.13636363636363635,1,4
280374,0.44,1,4
280375,0.42105263157894735,1,4
280376,0.6842105263157895,1,4
280377,0.5384615384615384,1,4
280379,0.5416666666666666,1,4
280380,0.45454545454545453,1,4
280383,0.47058823529411764,1,4
280384,0.5652173913043478,1,4
280385,0.42857142857142855,1,4
280386,0.5,1,4
280387,0.25,1,4
280389,0.38095238095238093,1,4
280391,0.3103448275862069,1,4
280392,0.43478260869565216,1,4
280395,0.4117647058823529,1,4
280396,0.5714285714285714,1,4
280398,0.391304347826087,1,4
280403,0.3333333333333333,1,4
280404,0.5333333333333333,1,4
280405,0.4666666666666667,1,4
280406,0.6153846153846154,1,4
280408,0.4117647058823529,1,4
280409,0.5555555555555556,1,4
280411,0.3333333333333333,1,4
280412,0.47619047619047616,1,4
280413,0.5882352941176471,1,4
280418,0.5263157894736842,1,4
280419,0.5454545454545454,1,4
280420,0.7222222222222222,1,4
280422,0.4230769230769231,1,4
280428,0.26666666666666666,1,4
280429,0.34782608695652173,1,4
280430,0.5454545454545454,1,4
280433,0.7,1,4
280435,0.5769230769230769,1,4
280436,0.26666666666666666,1,4
